"email,name,phone"
"jimxugle@gmail.com,Jim Xugle,(453) 651-2173"
"jbryan@yahoo.com,Jim Bryan,(407) 688-4473"
"daveewart@hotmail.com,David Edward,(239) 672-5224"
"qmacro@hotmail.com,Macro Mini,(627) 966-0921"
"mahbub@live.com,Mahboob Aboobaker,(224) 472-7425"
"milton@gmail.com,Paris Milton,(719) 362-8397"
"isorashi@me.com,Isac Qureshi,(753) 483-4486"
"oster@aol.com,Oster John,(359) 498-4494"
"chinthaka@me.com,Chintha Gerom,(326) 304-1941"
"gordonjcp@outlook.com,Gordon Joseph,(932) 763-4680"
"sacraver@gmail.com,Sara John,(793) 607-7695"
"fallorn@icloud.com,Falcon Xaviee,(832) 758-0261"
"carroll@gmail.com,Jordan Chang,(287) 256-8660"
"chrisj@gmail.com,Orlando Orr,(932) 763-4680"
"penna@verizon.net,Penna John,(288) 367-5986"
